step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
33,transparent,ENGLAND,GERMANY,0,7,5
33,transparent,GERMANY,GERMANY,1,5,5
33,transparent,ITALY,GERMANY,0,10,5
33,transparent,RUSSIA,GERMANY,1,9,5
33,transparent,TURKEY,GERMANY,1,2,5
33,transparent,AUSTRIA,ITALY,0,1,10
33,transparent,ENGLAND,ITALY,1,7,10
33,transparent,GERMANY,ITALY,1,5,10
33,transparent,ITALY,ITALY,1,10,10
33,transparent,RUSSIA,ITALY,0,9,10
33,transparent,TURKEY,ITALY,0,2,10
33,transparent,AUSTRIA,RUSSIA,0,1,9
33,transparent,ENGLAND,RUSSIA,1,7,9
33,transparent,GERMANY,RUSSIA,0,5,9
33,transparent,ITALY,RUSSIA,0,10,9
33,transparent,RUSSIA,RUSSIA,1,9,9
33,transparent,TURKEY,RUSSIA,0,2,9
33,transparent,AUSTRIA,TURKEY,1,1,2
33,transparent,ENGLAND,TURKEY,1,7,2
33,transparent,GERMANY,TURKEY,1,5,2
33,transparent,ITALY,TURKEY,0,10,2
33,transparent,RUSSIA,TURKEY,0,9,2
33,transparent,TURKEY,TURKEY,1,2,2
36,transparent,AUSTRIA,AUSTRIA,1,1,1
36,transparent,ENGLAND,AUSTRIA,1,8,1
36,transparent,GERMANY,AUSTRIA,1,4,1
36,transparent,ITALY,AUSTRIA,0,10,1
36,transparent,RUSSIA,AUSTRIA,0,9,1
36,transparent,TURKEY,AUSTRIA,0,2,1
36,transparent,AUSTRIA,ENGLAND,1,1,8
36,transparent,ENGLAND,ENGLAND,1,8,8
36,transparent,GERMANY,ENGLAND,1,4,8
36,transparent,ITALY,ENGLAND,1,10,8
36,transparent,RUSSIA,ENGLAND,1,9,8
36,transparent,TURKEY,ENGLAND,1,2,8
36,transparent,AUSTRIA,GERMANY,1,1,4
36,transparent,ENGLAND,GERMANY,0,8,4
36,transparent,GERMANY,GERMANY,1,4,4
36,transparent,ITALY,GERMANY,0,10,4
36,transparent,RUSSIA,GERMANY,1,9,4
36,transparent,TURKEY,GERMANY,1,2,4
36,transparent,AUSTRIA,ITALY,0,1,10
36,transparent,ENGLAND,ITALY,1,8,10
36,transparent,GERMANY,ITALY,1,4,10
36,transparent,ITALY,ITALY,1,10,10
36,transparent,RUSSIA,ITALY,0,9,10
36,transparent,TURKEY,ITALY,0,2,10
